0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
207.7859,205.9583,206.2400,190.0824,172.2991,206.1058,212.4551,167.0629,25.6397,-59.3023,52.3761,59.5773,-13.3100,209.5500,213.6500,205.4300,207.4800,91328654
209.1123,208.9167,207.5105,189.1631,172.3973,206.8042,214.7110,168.2215,37.3154,-57.3377,51.4062,57.8735,-17.7500,219.0500,222.3600,216.8100,222.2200,58323180
209.3612,210.6450,208.1262,189.7559,176.4856,209.0000,216.3826,169.5219,43.8030,-51.3022,52.4072,56.9113,-10.3700,216.8800,220.4500,216.6200,218.8600,38358933
209.1257,211.2033,208.4843,194.8704,179.8538,212.2558,216.9052,170.6787,46.2358,-76.8499,48.7823,53.5385,-3.3500,211.1500,215.1800,209.2700,213.3000,36659990
211.2680,212.6150,211.0114,199.2596,186.9858,214.8858,217.0029,171.8073,33.1362,-85.8619,44.4325,50.0184,-8.4700,219.1900,219.6900,206.0900,212.2400,45935520
215.1392,215.0667,214.8619,205.1857,190.4424,215.7650,217.6763,173.2795,27.9777,-87.8913,40.7854,46.5807,-14.7100,215.9000,220.1900,212.6700,216.3000,47258375
218.2028,217.1200,217.6162,206.7983,188.2880,215.7467,219.5115,174.7641,33.8591,-0.8605,37.1860,44.2961,-12.3200,217.7100,221.3800,216.7500,219.8000,29855768
216.5960,215.9317,215.8195,206.3706,187.6320,215.4808,220.6527,175.9438,60.2906,-29.6031,36.6326,44.5199,7.1300,222.6000,224.2300,214.5400,215.0900,40925163
215.6904,216.5767,215.1671,204.7033,193.0793,216.5825,220.5414,176.5339,53.3770,-60.2536,39.0177,43.9000,-3.8700,215.8300,223.2500,214.7000,222.7300,38767846
216.6465,217.8017,216.4533,207.2189,197.8082,217.9683,220.5814,176.2135,38.6469,-66.0970,41.8092,43.1208,-7.3500,219.7900,223.3600,218.9400,220.6500,28792082
218.4092,218.9800,218.3790,213.3417,205.1896,219.1642,221.0943,175.4300,35.4046,-68.5986,38.5172,39.6513,-7.0700,218.0600,221.2600,217.4300,219.3100,33078726
219.2528,218.9333,219.1314,218.7500,207.0901,219.5633,221.6695,174.5737,42.5883,-39.4479,34.1279,35.6569,0.2800,217.8600,219.7400,213.0000,216.0200,32581315
219.0339,219.1650,218.9500,215.7551,206.1024,219.4717,221.6975,174.5298,49.8554,-81.3891,31.5556,34.0941,-1.3900,222.3000,222.6400,219.3400,221.1900,22885397
220.6115,220.3417,220.4505,213.6076,202.8960,219.5458,221.7163,175.0697,37.9893,-6.0811,36.9767,37.9972,-7.0600,218.9300,222.9900,216.7627,222.1500,29183963
219.7641,219.4467,219.5124,214.6867,205.0620,219.3800,222.2461,176.5667,55.8561,-26.1583,40.8409,41.3251,5.3700,221.1600,221.8300,217.2700,217.3600,30791007
219.4098,219.6900,219.2381,217.4281,212.5736,219.8500,222.2144,179.2168,50.5832,-36.8368,35.8347,37.1760,-1.4600,220.4200,222.8800,216.8400,222.1100,40337851
219.4497,218.8800,219.1152,218.7229,220.0194,219.6333,222.2328,182.3869,47.1972,-65.3233,29.8273,31.9776,4.8600,214.5200,219.5000,212.3200,214.4500,53124392
220.8216,218.9367,219.9486,218.0732,216.1442,219.0967,222.3245,185.8108,38.5874,-36.7783,26.3807,28.9682,-0.3400,225.4600,226.3500,216.0500,216.3600,41990554
220.6742,219.8833,219.5752,220.8441,212.9104,218.8450,222.3580,188.9438,49.0637,-34.2475,26.4610,31.7188,-5.6800,223.6400,227.2700,222.2462,226.8700,26891029
220.0839,220.1533,219.0048,219.2424,213.8337,219.2933,222.3955,191.7496,51.2153,-66.2876,26.5574,33.6992,-1.6200,222.2100,224.8000,220.2000,223.7700,29663923
221.1735,221.3083,220.1329,218.3250,217.2125,221.0442,222.3977,194.0415,40.3362,-39.1548,24.8804,30.3576,-6.9300,227.9600,228.4100,220.5800,224.2900,33580463
220.7988,222.2883,220.1838,217.9709,218.8724,222.9717,222.6328,196.5286,49.4488,-89.3660,27.3576,28.5925,-5.8800,230.7800,232.3500,226.7300,227.9900,32042000
223.3384,225.2250,223.2624,220.1231,217.8516,225.1942,222.6532,199.7082,27.4107,-98.2204,26.5939,26.4873,-17.6200,230.0500,233.4700,229.7800,232.0700,28654799
226.1297,227.3783,226.4105,219.5490,221.7271,227.0558,225.5360,203.0122,30.1411,-49.7362,22.7572,24.6091,-12.9200,227.2500,230.0000,226.6300,229.2800,24788170
225.8336,227.4433,226.5743,217.9182,219.7242,228.1958,227.0797,205.6126,55.4843,-73.0972,24.9970,25.7772,-0.3900,227.9500,229.4200,226.3500,227.2600,23600802
226.6591,227.7717,227.7176,219.2311,218.4365,228.7150,227.0810,207.5230,43.8874,-71.2180,27.6849,26.2826,-1.9700,224.7900,225.8400,224.0200,225.7400,22929364
227.6067,227.8817,228.7438,217.7049,217.7331,228.1817,227.1527,208.7442,45.5460,-55.1863,28.9652,28.1614,-0.6600,223.8200,226.4400,223.5400,224.9500,30181227
227.4533,226.6200,228.3524,221.5464,220.5705,226.6625,227.1767,210.1300,58.6999,-10.2115,30.5017,28.5478,7.5700,221.0000,223.7500,219.7600,220.4200,23984706
225.6067,224.9733,226.3248,226.4123,219.7486,224.9083,227.0600,212.0163,79.9059,-6.9903,27.1499,24.9535,9.8800,219.7500,222.8200,219.7000,222.1900,24554379
224.1373,223.5583,224.6900,225.9331,217.1573,223.3350,225.3190,214.2482,74.6969,-16.8882,25.7151,25.3561,8.4900,216.8200,221.2600,216.6300,220.7900,27693358
222.8883,221.9583,223.1752,227.6237,218.3891,221.8925,224.0710,215.8466,70.0055,-7.1356,30.7464,29.2157,9.6000,220.7800,221.3600,217.2900,217.6600,96246748
221.7476,221.0067,221.8229,229.9049,215.3745,220.8400,222.9825,216.2958,66.0596,-15.1886,32.6417,30.8035,5.7100,220.2400,222.2800,219.1500,220.0300,26608794
220.4666,219.9100,220.3829,230.5175,219.5858,219.8817,222.6888,216.1663,64.0088,-39.4083,35.3431,32.9224,6.5800,218.5000,219.6200,215.3000,218.3700,27123833
220.4853,219.5467,220.1333,228.0498,225.7420,219.3183,222.4103,216.7761,49.3992,-8.3777,36.9108,32.0304,2.1800,217.7900,221.8500,217.1200,218.2400,31571712
219.8034,218.8283,219.1729,226.0884,224.8116,218.8058,222.4848,217.7809,56.9228,-28.2353,30.8114,28.2633,4.3100,222.1500,222.9500,217.2700,217.8800,37195133
219.4088,219.3367,218.7576,224.3707,226.9189,218.9292,222.5263,218.5333,52.1158,-79.5494,26.2421,28.4943,-3.0500,225.7500,226.8400,222.5220,223.8400,31999289
220.1083,220.7950,219.6533,222.6823,230.2515,219.9350,222.5983,218.8125,39.5478,-63.7548,21.3377,26.9897,-8.7500,223.5200,228.3500,222.5700,226.4100,41706377
220.1396,220.9683,219.9214,220.4942,231.7687,221.1583,223.9851,218.9015,47.3975,-76.4751,20.1106,27.7268,-1.0400,224.9400,225.0000,219.8400,221.0700,49278740
220.8474,221.8817,220.9248,220.5425,229.1805,222.5617,224.0281,218.9903,40.5048,-85.7506,18.6380,27.7744,-5.4800,218.0100,224.2990,216.5600,223.8500,35749049
221.8904,221.8967,221.9695,219.2017,227.1793,222.8358,224.4283,218.7779,39.9916,-88.1313,21.6249,26.2181,-0.0900,220.9500,221.8500,216.4700,218.3300,39516453
223.4945,222.4667,223.2800,218.1717,225.4294,222.4483,224.4562,218.9753,38.7729,-37.9630,24.6824,25.4623,-3.4200,221.8500,225.3700,220.7100,221.3000,37619810
223.3563,222.3433,222.8524,219.0759,223.6167,221.7325,224.6003,219.4528,53.8650,-16.3300,24.7229,23.0303,0.7400,226.2300,227.3500,221.3000,223.1000,34289976
222.1348,222.4200,221.7124,218.7255,220.8953,221.7275,224.6059,220.0601,62.6243,-65.1515,25.7382,22.9244,-0.4600,228.9900,229.6700,225.1000,226.8700,33332960
