0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
49.0134,49.0300,49.2819,50.1581,48.7564,49.0967,49.4425,49.1171,87.6669,-8.5540,65.3937,49.7907,1.8700,47.8200,48.0000,47.4350,48.0000,17585058
48.7467,48.7067,49.0038,49.9864,48.9070,48.7675,49.1428,49.2750,86.3489,-9.7561,64.2595,51.9278,1.9400,47.8100,48.1500,47.2950,47.7400,16494500
48.5134,48.4650,48.7567,50.0234,49.0721,48.4183,48.7645,49.3669,83.6698,-7.7253,64.8438,54.3638,1.4500,47.5000,48.0800,47.2200,47.8800,25309419
48.1708,48.1750,48.4152,50.0344,49.7897,48.0917,48.5232,49.3834,85.2634,-0.6469,68.4727,58.7509,1.7400,46.6200,47.7400,46.0384,47.6300,20895360
47.7951,47.7333,48.0219,49.9323,50.3690,47.7725,48.0867,49.4073,83.5682,-3.1060,65.4034,60.4391,2.6500,46.1500,46.5550,46.0500,46.4600,20932176
47.4371,47.2717,47.6167,49.7124,50.0575,47.4042,47.4831,49.4477,80.5574,-5.5147,61.7202,63.5570,2.7700,46.3700,46.4800,45.4300,45.9200,21458110
47.2119,47.0233,47.3376,49.4587,49.8409,47.0100,46.7626,49.4851,74.0470,-15.0735,57.3005,60.7800,1.4900,46.6500,46.7400,46.1200,46.5100,14220216
47.0007,46.8550,47.0848,49.2769,49.9182,46.6692,46.5680,49.5357,70.9975,-7.5472,52.6138,58.7288,1.0100,46.3300,47.3900,46.2400,46.7300,21626031
46.6490,46.6017,46.7195,48.8970,49.9926,46.4717,46.4732,49.5565,74.9492,-4.7619,48.1809,58.3268,1.5200,45.6200,46.4550,45.4500,46.3600,17483862
46.2566,46.3250,46.3467,48.4361,49.9435,46.3925,46.2691,49.5217,72.6870,-47.4490,42.8614,54.1324,1.6600,46.3700,46.4550,45.8100,45.9700,14283642
46.1753,46.3033,46.3019,47.9766,49.7530,46.3733,46.0542,49.4535,57.8376,-75.0000,37.5359,49.6281,0.1300,45.8300,46.4900,45.8300,46.3300,13989247
46.2774,46.2517,46.3967,47.7420,49.5285,46.2692,46.0504,49.3821,46.6903,-45.3608,32.2030,44.7517,0.3100,45.9000,46.0800,45.4550,45.6100,12716854
46.1843,46.1433,46.2919,47.5316,49.4261,46.1192,46.0528,49.3518,61.4933,-32.5123,29.1009,40.8574,0.6500,45.4100,45.9900,45.3600,45.8600,11055840
45.9660,45.9367,46.0652,47.0406,49.0687,45.9442,46.0263,49.4325,68.2135,-7.9882,25.3784,36.7797,1.2400,45.0200,45.5950,44.8626,45.4900,10442520
45.8084,45.6950,45.8752,46.4124,48.5912,45.7442,45.9161,49.5282,62.4645,-27.3684,21.2225,32.0419,1.4500,44.6400,45.2650,44.5900,44.9100,11608529
45.7438,45.4800,45.7352,46.3120,48.0922,45.5083,45.8357,49.7050,55.3750,-7.1429,17.7094,27.6227,1.2900,44.4800,44.8799,44.2500,44.6800,12420075
45.5093,45.1983,45.4119,46.5709,47.8946,45.2108,45.8139,49.9174,64.7879,-25.6831,20.9297,26.5663,1.6900,45.8000,45.9700,44.5000,44.6400,17677941
45.4691,45.2100,45.2976,46.5022,47.7460,45.0475,45.6132,50.0904,50.8687,-34.2857,24.0611,26.5810,-0.0700,46.3000,46.7000,45.6700,45.6800,13917018
45.3127,45.2983,45.1371,46.1927,47.2013,45.0850,45.6132,50.1854,57.4385,-49.3878,22.6883,24.0334,-0.5300,46.3800,46.5500,46.2200,46.3900,10824552
45.2418,45.4633,45.1295,45.9682,46.4017,45.3742,45.6057,50.1444,49.3745,-73.0612,19.5058,20.3642,-0.9900,45.9900,46.5800,45.9700,46.4800,9808094
45.3745,45.6250,45.3338,45.9029,46.2779,45.7508,45.6160,50.0201,32.7233,-82.4490,23.2345,20.4720,-0.9700,45.9400,46.1600,45.6900,45.8800,8734090
45.6523,45.8200,45.6595,45.4976,46.6800,46.0183,45.6761,49.9077,24.5193,-93.6364,22.7535,21.8416,-1.1700,45.6600,45.8950,45.4250,45.8500,9582388
46.0572,46.0250,46.0552,45.4124,46.6793,46.0925,45.8108,49.7728,23.1613,-80.0000,21.8871,22.9741,-1.2300,46.4600,46.5500,45.8000,45.8700,10542292
46.2081,46.1633,46.1933,45.0770,46.3496,46.0658,45.9873,49.5733,37.9574,-16.4502,24.4144,23.5514,-0.8300,46.2800,46.5550,46.0600,46.5100,7462702
46.1354,46.1367,46.1210,44.8409,46.1209,46.0542,46.0185,49.3115,59.6286,-8.6580,28.2972,23.9015,0.1600,46.1700,46.3500,46.0500,46.2300,9364735
45.9975,46.0883,46.0090,44.9459,46.1159,46.1142,46.0129,49.0061,63.4556,-59.7345,31.0291,27.1318,0.2900,46.0000,46.1900,45.9700,46.1900,9071904
46.0445,46.1100,46.0748,45.3301,45.6250,46.1833,45.9985,48.6734,43.2047,-62.3894,30.4530,26.6032,-0.1300,45.7300,46.1800,45.6800,46.0100,10826880
46.1223,46.1100,46.1490,46.0111,45.5458,46.1683,46.0005,48.3170,41.8624,-69.1919,24.5275,23.2073,0.0000,45.7700,46.0700,45.5650,45.8500,10162560
46.2233,46.0783,46.2086,46.2944,45.0847,46.0792,46.0011,47.9397,42.4194,-4.5455,18.3608,21.3876,0.1900,46.0600,46.1754,45.6100,45.6800,7919144
46.1086,46.0050,46.0643,46.1834,44.6865,45.9683,46.0039,47.5838,65.7469,-31.0881,18.5994,23.4483,0.4400,46.4900,46.5300,45.8400,46.0700,10778892
46.0600,46.0633,46.0167,45.9269,44.7021,45.9600,45.9602,47.2659,57.1572,-44.4444,17.4013,24.2152,-0.3500,46.6400,46.6900,46.3750,46.5800,19240577
46.0080,46.1383,46.0019,45.9927,45.0952,46.0633,45.9478,46.9807,55.8388,-60.4444,15.9636,23.2083,-0.4500,46.2200,46.6800,46.1500,46.6400,9736714
46.0071,46.1300,46.0362,46.1276,45.9582,46.2000,45.9318,46.7026,50.0779,-74.6667,18.5709,21.5492,0.0500,46.0000,46.1050,45.8650,45.9600,7119133
