0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
81.3913,81.8650,81.7662,78.3020,76.3682,82.0483,81.4269,75.7682,38.6522,-70.9877,29.9318,34.3233,-2.1200,81.7600,82.4500,80.2300,81.9500,19350357
81.5999,81.8317,82.0410,78.0512,76.0388,81.9358,81.6155,76.5471,47.4462,-45.7818,32.3017,35.8474,0.2000,79.8300,80.7500,79.3000,80.6700,14159250
81.5558,81.4933,81.9790,78.3209,77.3828,81.5667,81.6213,77.1049,56.0257,-2.5943,34.3314,36.9636,2.0300,79.3400,80.3501,78.9000,79.6800,16629070
80.9661,80.7850,81.3376,79.4686,77.5403,80.9392,81.6128,77.5505,73.4085,-16.1468,31.7988,33.1402,4.2500,77.6200,79.0300,77.4200,78.7800,17758234
80.5566,79.9617,80.7581,80.8976,78.6631,80.1000,80.8561,77.9824,66.6058,-18.4962,30.5193,31.4664,4.9400,78.0700,78.4300,76.2200,77.0500,15707035
80.1232,79.2767,80.0829,81.7707,78.1313,79.1917,80.2198,78.4531,64.0247,-8.0257,31.1063,30.5191,4.1100,77.8700,78.4100,76.9600,77.5300,18160517
79.3925,78.6700,79.1457,82.3395,77.5490,78.4075,79.7478,78.8015,67.8981,-1.7660,35.5146,33.9081,3.6400,78.4900,79.0500,77.7400,78.3100,12315457
78.8814,78.1617,78.4290,82.5472,77.5623,77.9350,79.2752,78.9725,59.4587,-16.2248,42.1019,38.2167,3.0500,80.1300,80.2600,77.5500,77.6200,16085735
78.5620,78.1883,78.0029,81.7644,78.7789,77.9567,79.0186,78.8599,51.1878,-39.6226,39.8340,35.8164,-0.1600,80.0600,80.4600,78.7150,79.8400,15465125
78.4748,78.5833,77.9467,81.2646,80.5194,78.3942,79.0145,78.4937,42.2644,-86.0738,38.5765,34.5479,-2.3700,82.0000,82.1800,80.6400,81.1500,9474105
79.0447,79.4033,78.6190,80.6811,81.6683,79.2333,79.0318,77.9428,18.3564,-89.6431,40.2001,35.6532,-4.9200,81.6600,82.4636,81.5100,81.9700,12098692
79.6506,80.1233,79.3600,79.4428,82.5564,80.1925,79.8255,77.3847,20.3000,-84.5528,41.5897,38.5521,-4.3200,81.2000,82.4700,81.2000,81.8500,17448566
80.1869,80.6550,80.0300,78.4410,83.1027,80.9883,80.6007,77.0631,23.6979,-98.5772,44.4699,43.2859,-3.1900,80.9400,81.5200,80.3400,81.5000,12247748
81.2137,81.2517,81.0676,77.6259,82.3490,81.4833,81.0722,76.9369,12.9577,-70.0399,52.3686,46.1013,-3.5800,80.5100,81.2650,80.0100,81.2000,9781778
81.7631,81.4150,81.5176,77.0771,81.9928,81.5300,82.1371,77.0513,20.8121,-53.6585,59.8566,49.2165,-0.9800,81.3800,81.7350,80.8200,80.8200,10558752
82.0084,81.4533,81.6043,77.6579,81.5504,81.3992,82.2831,77.3907,29.6499,-20.3252,60.7321,50.4661,-0.2300,82.1300,82.2400,80.2700,81.3800,15216300
82.0237,81.3917,81.4390,78.3149,80.1523,81.2725,82.2994,77.8375,38.0864,-55.7692,56.9863,49.2880,0.3700,83.9400,84.1700,81.1700,81.6000,20320055
82.0932,81.8367,81.4352,78.8531,78.9433,81.5183,82.3105,78.3273,35.8608,-78.1204,53.2653,48.8676,-2.6700,86.7300,86.8200,84.5000,84.5200,16573426
82.3305,82.6717,81.7700,80.3731,77.8335,82.2775,82.4005,78.7035,29.7204,-82.6783,49.7680,51.0683,-5.0100,86.3800,86.8800,85.7400,86.5100,10177885
82.7827,83.4933,82.4252,81.1359,76.9061,83.4242,82.7675,79.0993,24.5617,-91.6793,45.5714,52.7140,-4.9300,84.7900,86.3050,84.6500,86.1300,13242364
83.5678,84.2467,83.4043,81.3754,77.4294,84.6058,83.3632,79.4826,18.2259,-83.2073,42.0502,51.3912,-4.5200,85.3100,85.7000,84.9324,85.3400,9217393
84.4429,84.9467,84.4233,81.1530,78.0461,85.4017,84.0506,80.0424,20.3220,-92.4694,41.9057,49.4460,-4.2000,85.5000,86.0753,85.2500,85.5800,10204586
85.5801,85.7050,85.5962,80.9437,78.4788,85.7717,84.7334,80.7072,21.1170,-99.1632,44.7512,49.0082,-4.5500,86.5100,86.8900,85.9750,86.1500,10206722
86.0041,86.0283,86.0271,80.9584,80.3424,85.8575,85.5844,81.2920,37.2252,-16.9643,48.1657,48.9669,-1.9400,85.8000,86.6650,85.6220,86.4600,8453138
85.8018,85.9117,85.8562,81.3140,81.3060,85.8942,85.7212,81.5822,65.6777,-33.9286,45.8791,45.7253,0.7000,85.3500,86.0300,85.2550,85.8100,8568210
85.6705,85.7267,85.7410,82.2966,81.6080,85.9142,85.6856,81.5079,60.9252,-79.1786,41.2444,41.6473,1.1100,85.2500,85.9299,84.9900,85.0200,9884941
85.8027,85.7983,85.8719,83.5384,81.2408,85.8750,85.6523,81.1408,48.5930,-68.9474,36.8338,39.3697,-0.4300,86.0850,86.3750,85.5900,85.7700,7895430
85.8918,85.8317,85.9438,85.4510,80.7877,85.7400,85.6588,80.5432,52.8127,-38.9474,31.5410,38.1461,-0.2000,86.0200,86.5000,85.6900,85.7800,10275498
85.7886,85.8900,85.8695,86.2474,80.5176,85.7092,85.6596,79.8276,63.7732,-37.9747,26.4193,37.2925,-0.3500,87.0312,87.3600,86.3700,86.5000,12200690
85.5200,85.9133,85.7133,85.9400,80.6002,85.8417,85.6512,79.1659,70.3944,-65.4008,29.4292,37.6542,-0.1400,85.7900,87.0850,85.7200,86.6000,13549454
85.4040,85.8067,85.7124,85.7328,81.4949,85.9808,85.6442,78.5652,63.8333,-82.3944,28.7980,35.0212,0.6400,85.0100,85.4300,84.5200,85.1700,26639437
85.5576,85.7733,85.9276,86.0221,82.7827,85.9825,85.6395,78.1268,53.3659,-55.9859,31.2369,34.0353,0.2000,84.8600,85.3400,84.5400,84.8200,11198171
85.4726,85.5833,85.8743,86.2880,85.1683,85.6967,85.6458,78.0024,69.2139,-42.4731,36.4279,33.9844,1.1400,83.6400,84.7700,83.6400,84.6300,10413591
85.3496,85.2250,85.7157,86.2399,86.2240,85.2133,85.6327,78.1890,69.4431,-21.9949,42.3131,34.3662,2.1500,83.9000,84.1300,83.4500,83.6300,9219890
84.8895,84.7100,85.2043,85.8833,85.8023,84.6633,85.6036,78.6583,86.6560,-11.8437,42.3668,35.8980,3.0900,83.0000,83.6100,82.9900,83.4100,8403325
84.2052,84.0967,84.4890,85.7967,85.4639,84.1108,85.0135,79.3122,89.2155,-8.2278,43.5037,36.1508,3.6800,82.4200,83.1500,82.2700,82.9200,9442579
83.8193,83.6217,84.0467,86.2609,85.8028,83.6133,83.7442,79.9508,83.3580,-15.6156,48.3907,39.8138,2.8500,83.1500,83.2500,82.0100,82.3200,11162714
83.4191,83.3400,83.6238,86.3723,86.1579,83.2208,82.6036,80.5355,81.2846,-5.0725,54.8689,45.6484,1.6900,83.2500,83.7800,82.8700,83.1300,11556657
82.9347,83.0450,83.1710,86.4863,86.1130,82.9408,82.2477,81.0227,80.1669,-20.0000,57.2203,49.7667,1.7700,81.9600,83.1900,81.6300,82.8600,11891917
82.6566,82.7250,82.9124,86.0206,85.6176,82.7525,81.8484,81.2944,73.1276,-17.2093,59.0818,50.7243,1.9200,82.2359,82.7400,81.6550,81.7100,10817038
82.3552,82.4617,82.6414,85.1047,85.4539,82.5650,81.5266,81.5248,71.2574,-21.7172,54.3708,48.9373,1.5800,80.1500,81.9300,79.8200,81.8300,16417783
82.1293,82.0517,82.3933,84.6926,86.0918,82.2008,81.2787,81.8554,66.9937,-36.8687,49.0160,48.7033,2.4600,81.1100,81.6400,80.3400,80.4600,13320645
82.0530,81.8917,82.2710,84.2414,86.3319,81.8125,80.9520,82.3895,61.1064,-15.5502,45.4450,50.1569,0.9600,79.9000,81.4300,79.6000,81.3600,13878418
81.6222,81.4183,81.7819,83.6016,86.6666,81.3467,80.9010,83.1255,76.4464,-9.1922,41.3952,49.3078,2.8400,80.4100,80.6900,79.8100,80.2900,8855027
81.1271,80.9700,81.2419,83.3122,86.2676,80.9650,80.4374,83.9939,74.6808,-32.8025,38.1187,48.6003,2.6900,80.2400,80.4600,79.7700,80.1700,10700016
80.8939,80.7700,80.9733,82.9717,85.2186,80.7125,79.9565,84.8690,65.5024,-4.2918,36.5125,45.4416,1.2000,80.4500,80.7800,80.1200,80.5100,7450853
80.5195,80.6083,80.6243,82.7664,84.8260,80.5367,79.8408,85.5795,67.6344,-57.8431,37.0532,43.0346,0.9700,80.4400,81.0400,80.0950,80.8600,8004792
80.5432,80.5783,80.6581,82.8687,84.3773,80.4983,79.7533,86.0166,53.1163,-3.8251,40.3936,42.9193,0.1800,80.5800,80.8200,80.2000,80.2800,8823352
80.2165,80.4183,80.3890,82.3334,83.6364,80.4750,79.7466,86.1169,70.4054,-59.0551,44.4019,42.8985,0.9600,79.9100,80.4700,79.8592,80.4000,6671872
80.1872,80.3067,80.3938,81.6276,83.3494,80.4192,79.6000,86.1119,56.3191,-53.7037,40.5804,39.3496,0.6700,79.5200,80.0500,79.4200,79.6200,6545216
80.1940,80.1250,80.3810,81.3615,82.9847,80.2158,79.5576,86.1670,54.2856,-24.7086,37.8766,37.1945,1.0900,79.5600,79.6300,78.8950,79.0800,7203899
80.0677,80.0333,80.2448,80.7997,82.8053,79.9667,79.4940,86.2326,60.9896,-8.3916,36.4317,36.7425,0.5500,79.1100,80.0500,79.0200,79.9600,10098237
