0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
169.8025,168.6800,170.4090,171.9781,174.3477,168.5650,168.1759,165.5085,64.2416,-5.5948,30.9905,35.9816,12.1200,172.9900,176.0000,171.1000,175.0500,3781183
167.7035,166.6600,168.0119,168.6503,170.7390,166.4633,166.8863,163.6767,53.2561,-13.3333,29.2675,36.5982,13.1600,170.6600,171.7700,168.2900,169.5100,4060393
166.9809,164.4667,166.5710,167.5839,170.1642,164.4717,166.3572,162.3862,60.2754,-1.0706,31.2830,37.7343,11.9800,164.3300,172.2500,163.3500,172.0300,3999444
164.9612,162.4700,163.8395,163.7858,165.6198,162.5733,165.4944,161.5452,49.2626,-14.3893,33.7016,36.6408,-1.3600,163.7800,167.1200,163.7800,167.0500,4550009
164.1257,162.6967,162.5957,161.6446,162.9065,161.6833,165.4804,161.6427,37.6315,-43.2080,37.8471,36.9621,-6.2200,165.6400,165.9500,162.0200,163.0300,4110520
164.5640,163.7333,162.7967,161.5287,162.7412,162.2117,165.6032,162.4535,42.4303,-40.7775,40.9727,39.1606,-6.0900,160.1200,165.4100,159.0200,165.4100,4972964
164.2256,164.7483,162.6076,159.6378,159.7828,164.2508,165.6126,163.8153,35.2616,-51.4903,43.9290,41.6208,-5.0800,157.0000,163.1100,151.7000,162.9300,7054656
164.7439,165.5950,163.3690,158.8392,157.7253,166.7033,165.7086,165.9253,10.6660,-90.0682,44.1857,41.3830,-16.4200,159.0000,160.0000,154.3100,156.3500,3783497
168.1014,168.3317,166.7924,163.1924,162.6286,168.9925,168.6190,168.3012,12.9761,-96.2589,39.5801,37.2665,-15.8700,168.2500,169.6300,159.4200,160.0500,8960030
171.3220,170.9767,169.9143,167.6700,168.1376,170.5750,171.2225,170.1012,21.9121,-84.5395,36.0770,35.1427,-8.2900,168.3900,171.6500,167.1600,168.4100,6488177
