0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
143.7055,143.4733,144.3014,145.6372,141.3882,143.5817,144.6420,140.6124,84.7644,-6.6563,41.5065,37.9346,4.9400,141.9700,142.0000,139.6600,140.6800,7673303
143.0517,142.7200,143.5529,145.0376,142.5404,142.6075,143.8596,143.4182,83.8135,-7.2452,39.2729,38.8614,4.5200,140.0700,141.5800,139.8500,140.8200,6913461
142.1523,141.8350,142.5629,145.2066,143.8856,141.6800,142.8775,145.5459,83.6924,-2.1027,39.8980,39.4321,5.3100,141.0000,141.4300,139.6100,139.9900,9968941
141.1133,141.1683,141.5395,145.6249,146.8363,141.0167,141.2276,146.3782,82.1624,-4.4597,47.2214,44.1903,4.0000,137.9300,141.1000,137.0000,140.7500,9646224
140.5306,140.3317,140.9000,145.8806,146.9382,140.4200,140.1743,146.1105,74.1524,-8.2822,50.9011,47.3459,5.0200,136.9900,139.1000,136.2200,137.5500,6783049
139.8628,139.4600,140.1171,145.4379,145.4345,139.7175,139.3421,145.9582,72.3994,-19.7901,55.3167,48.4116,5.2300,137.9400,139.3000,135.3300,136.9700,11371401
139.5359,139.0917,139.6633,144.8232,144.6126,139.0092,138.3241,145.8810,64.0534,-11.6386,50.6160,44.9444,2.2100,137.4600,139.0900,135.0500,138.4700,9720715
139.0223,138.5333,139.0100,143.7332,144.8267,138.2883,138.1612,145.8055,65.5754,-22.5705,45.5717,42.7348,3.3500,138.5200,140.1100,137.1700,137.4700,8279166
138.6352,138.3567,138.5433,142.2874,145.4756,138.0033,137.8561,145.5977,60.9969,-5.7851,39.5185,43.3700,1.0600,137.7900,139.4900,137.4500,138.9300,8282724
137.7892,138.0117,137.7610,141.5917,146.0496,137.9875,137.8137,145.2562,67.8865,-50.5929,33.3131,42.1071,2.0700,138.6100,139.2600,138.1400,138.6800,4864342
137.8849,138.2617,137.9643,140.6806,145.7787,138.2933,137.6636,144.8324,46.8040,-62.0553,29.8937,42.6052,-1.5000,138.3400,140.0000,137.9100,139.0500,5924814
138.2509,138.6833,138.4538,140.3540,145.3396,138.6533,137.6705,144.3901,40.9485,-32.4111,26.0457,38.3308,-2.5300,139.2000,139.8100,137.7100,139.5000,7584163
138.1632,138.8483,138.5619,139.6539,144.2654,138.9150,137.7798,144.0525,53.6838,-67.6923,23.6059,34.5888,-0.9900,136.2300,140.0000,136.2100,139.4600,8261107
138.4405,138.6967,138.9124,139.1323,142.6257,138.9517,137.7407,143.9995,44.0096,-20.3810,22.0698,30.7942,0.9100,134.7500,137.9900,134.7500,136.5600,9592783
138.2447,137.8667,138.6086,137.6393,141.9523,138.3942,137.7483,144.2738,59.0041,-20.3390,20.7032,27.0082,4.9800,133.8800,135.3000,133.5100,133.9500,6398651
138.0706,137.0650,138.1471,137.7708,140.9421,137.3233,137.3161,144.9391,56.9092,-12.2265,20.0292,24.9615,4.8100,134.4000,134.4100,132.2300,133.8700,6997955
137.6788,136.1967,137.3319,138.4570,140.7203,135.9608,136.8275,145.6316,60.7372,-6.4350,20.9197,23.4827,5.2100,137.9100,138.6600,132.8800,133.8400,11603189
136.9504,135.9017,136.3038,138.3642,139.9804,135.1208,135.7127,146.0515,65.1808,-12.1507,21.9882,22.7971,1.7700,139.3500,140.4600,137.7300,137.7300,7265642
135.9465,135.8583,135.2748,138.9992,139.4550,135.1875,135.5914,146.1144,64.9911,-47.3876,22.3554,22.2126,0.2600,138.7400,139.6200,137.8100,139.2000,4475392
135.7011,136.3300,135.2090,138.8311,137.4440,136.1825,135.5673,145.7757,47.8099,-79.1009,22.8833,21.7933,-2.8300,138.9000,139.6800,138.6200,139.3900,5174106
136.4015,137.1883,136.1343,138.7174,137.5330,137.5183,135.4889,145.4527,17.4109,-80.0729,25.7413,22.8853,-5.1500,139.8000,140.2500,138.5600,139.1000,4309320
137.4141,138.1017,137.3433,138.1926,138.4444,138.5517,136.2924,145.2790,16.1636,-87.3351,25.9690,23.4443,-5.4800,138.5500,139.5300,137.3200,139.3500,4738706
138.8438,138.9667,138.8081,136.9411,138.3413,139.1108,137.6816,145.0838,15.7661,-89.6203,26.2421,24.1152,-5.1900,140.5400,141.2700,138.8800,139.0300,5411809
139.2893,139.4250,139.2924,134.9297,139.3249,139.3225,139.3656,144.6912,32.3333,-52.4051,27.0073,24.6814,-2.7500,139.7900,140.7300,139.6500,140.4800,6439132
139.3250,139.5067,139.3800,134.0322,139.3147,139.4483,139.8596,144.0450,48.3245,-47.5949,27.9256,25.4045,-0.4900,138.2600,139.8500,138.0000,139.6900,4873173
139.2990,139.3033,139.3552,134.7655,139.4549,139.4900,139.8756,143.1978,51.0436,-54.9367,33.2302,29.4858,1.2200,138.1000,138.5600,137.4100,138.1700,6638464
139.3786,139.1567,139.3714,136.1363,139.0920,139.3733,139.9012,142.2844,47.2697,-48.6076,31.6222,28.7956,0.8800,138.4500,139.5786,137.5700,138.2200,6450485
