0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
182.9272,182.5867,184.0810,186.2940,182.8362,182.9425,182.6390,183.3432,69.8107,-5.0874,43.5352,32.7408,7.6200,176.4500,176.9900,174.0000,176.7500,4190863
181.7221,180.7433,182.5962,184.6368,182.1499,180.9717,182.0893,184.0432,81.8706,-4.6512,42.5704,33.6175,11.0600,176.6700,177.3500,174.7000,174.8800,3701151
180.2189,179.3133,180.8343,185.0853,183.3999,178.9792,179.0087,184.4717,81.0723,-2.1947,42.7947,36.0410,8.5800,178.8100,178.9600,176.3700,176.9000,5424712
178.6064,178.3533,179.1495,185.4883,184.9311,177.5558,177.1344,184.6717,79.0129,-1.5924,50.0615,41.3829,5.7600,173.5100,178.5900,173.4400,178.4900,5582931
176.9650,176.7733,177.4533,185.8881,186.6340,176.6200,176.2545,184.8954,76.3254,-7.9955,51.9930,44.9884,9.4800,175.0000,176.1600,172.2200,173.2300,3485180
175.5950,175.5983,176.0843,186.0830,186.0744,176.0400,174.9779,185.3918,71.7903,-32.7893,54.6107,49.0730,7.0500,174.6000,174.9300,172.6000,173.3400,4741914
175.1330,175.3583,175.6867,184.9351,183.8110,175.4858,174.1849,185.8791,62.3642,-60.5341,56.0807,49.3255,1.4400,177.5600,178.2700,174.6029,175.3100,4646367
175.2342,175.7700,175.9410,183.2140,184.3599,175.1300,174.1393,186.3056,56.0815,-30.5638,53.0265,47.9106,-2.4700,176.1300,178.0000,174.4300,177.3500,7866377
174.5679,175.8117,175.6300,181.1872,184.9669,175.2292,174.1148,186.6388,65.9991,-1.2361,49.7082,49.8849,-0.2500,171.2000,177.8700,170.5000,177.1500,12918300
172.9991,173.8350,174.3000,178.9366,185.7494,174.9017,174.0978,186.6454,74.6595,-41.7219,46.7626,49.3778,11.8600,167.9800,169.8100,166.1900,166.6300,5703547
172.9067,172.8783,174.1995,176.9853,186.4962,174.0175,173.1580,186.4290,60.2970,-40.8113,44.4594,49.5351,5.7400,166.3900,168.1500,166.3000,167.4900,3509973
172.7334,171.7900,173.7567,176.6174,185.5707,171.9283,173.1517,185.8990,60.8986,-23.6724,43.2467,49.6637,6.5300,166.6400,167.9938,165.7660,166.8100,3378587
171.7028,170.3667,172.3443,177.4135,183.8859,169.5333,173.1322,185.1596,71.5513,-4.6796,47.4001,50.2133,8.5400,164.4700,167.7300,164.1100,166.7700,3608363
169.4439,168.1533,169.7167,176.9526,181.7134,167.5767,172.6573,184.6398,84.2724,-4.8096,50.2412,49.9747,13.2800,163.4400,164.4600,162.9000,164.0700,4094663
166.3615,165.9067,166.5043,174.7688,179.0642,166.1800,170.0501,184.5740,84.0405,-46.0203,48.0420,47.4023,13.4800,164.6900,165.4700,163.6400,163.6700,4265948
166.2540,165.4383,166.1638,175.2920,176.5825,165.3992,166.0870,184.9258,54.9073,-10.4928,45.7164,45.0879,2.8100,163.9300,164.9600,161.8600,163.8200,3446093
165.7596,164.6850,165.3624,175.8995,176.1476,164.5150,165.9741,185.4279,62.7051,-19.1746,45.2187,44.2327,4.5200,166.4100,167.6700,161.8200,162.9700,5430672
165.3395,164.9450,164.8295,175.1046,177.4508,164.3075,164.9807,185.9156,58.8548,-51.3752,46.0328,46.7165,-1.5600,171.9900,172.0000,168.2200,168.3700,4190540
164.7673,165.4550,164.4538,171.9476,177.2102,164.8625,164.9308,186.1024,58.6456,-77.8978,40.6066,45.4239,-3.0600,168.1600,170.5600,167.8100,169.8300,4158072
165.0462,166.0717,165.0257,166.7841,174.5145,166.0633,164.8256,185.9615,42.0713,-81.8271,34.2355,41.1388,-3.7000,166.2500,168.1700,166.1200,167.7700,2560488
165.5967,166.5550,165.8500,166.7384,175.5515,167.2058,164.8900,185.5874,39.0558,-80.3536,26.6486,36.1825,-2.9000,166.2400,167.4900,165.7900,166.5700,2822503
166.3074,166.8850,166.7257,165.9433,177.0436,167.6208,164.9530,185.2791,39.7016,-88.7033,24.2868,34.7527,-1.9800,164.8900,166.0700,164.5000,165.8000,3230440
167.6424,167.1667,167.9248,165.1765,176.9422,167.2758,164.9852,185.0645,34.5942,-47.5754,24.6831,35.3580,-1.6900,166.1000,167.6000,164.3700,164.6600,3830275
167.3513,166.6350,167.4290,163.9670,173.6221,166.4150,165.0310,184.5379,62.7189,-11.7932,25.4854,33.0460,3.1900,166.3500,167.0377,165.1800,165.1800,3071198
166.3599,166.1083,166.3657,164.2047,167.0475,165.7767,164.6141,183.6507,76.7836,-25.7642,26.9316,30.5836,3.1600,168.3700,168.9500,166.6600,166.6700,3126616
165.7958,166.0283,165.8681,164.9690,167.1687,165.6933,163.9787,182.3977,68.4700,-51.9651,28.4570,27.5528,0.4800,166.7400,167.8300,166.5100,167.2900,3390221
165.4862,166.0217,165.7114,166.1393,166.2451,165.9817,163.9280,180.8951,61.8359,-68.7773,31.8186,28.0527,0.0400,165.6200,167.2700,165.3000,166.5300,2390670
165.3606,166.0150,165.7729,168.7420,165.2524,166.3100,163.9153,179.4334,56.9978,-93.6681,34.5658,29.6245,0.0400,166.4000,167.5100,165.5500,165.7600,3092556
165.6409,166.3067,166.2433,168.5998,163.4358,166.4925,163.9063,178.1769,49.0250,-77.2541,37.8624,31.6739,-1.7500,164.5900,167.1800,164.0700,166.4100,5282930
165.8252,165.9950,166.4762,167.1162,163.4198,166.1875,163.8404,177.2258,52.7420,-29.1188,32.5255,29.7285,1.8700,163.9000,164.0800,161.1200,163.3100,4375289
165.4873,165.7667,166.2181,166.2907,164.0840,165.7317,163.7742,176.5942,64.4013,-8.0477,27.7750,28.1160,1.3700,162.7100,165.3000,162.5100,165.3000,8805474
164.7663,164.6833,165.4733,165.8692,165.3599,164.8833,163.6890,176.1151,69.7478,-12.0393,26.2387,29.0287,6.5000,160.2100,161.0500,159.3700,160.7900,3218707
164.0608,163.4583,164.5957,165.7714,168.9186,163.7642,163.0162,175.4462,66.9446,-17.8754,26.0384,30.3021,7.3500,158.7100,159.4900,157.7200,159.1800,2821953
163.3811,162.1267,163.5576,166.4962,168.9958,162.2858,162.2854,174.4427,64.1390,-8.0208,29.9385,33.9004,7.9900,158.1700,159.0800,157.5800,157.7700,3722864
162.1696,160.7483,161.9400,167.2071,167.1786,160.6250,161.5103,173.3287,68.2117,-22.7689,34.6186,33.5720,8.2700,159.5500,159.8200,156.5600,158.1400,5360039
161.7134,160.3367,161.0905,167.0840,166.1164,159.5708,160.2809,172.1967,57.4816,-0.0000,37.5280,32.6515,2.4700,163.0000,163.1100,160.2500,160.8400,3939824
160.2787,159.8533,159.5343,166.2806,165.5136,159.2467,160.1763,170.6010,70.1482,-52.4719,35.2609,30.7498,2.9000,165.4500,165.4600,161.7000,162.4000,3663571
160.0742,160.5117,159.4548,165.4753,165.3012,160.1000,159.9443,168.6767,48.8689,-70.5618,34.3624,30.2004,-3.9500,164.3200,165.4200,163.7400,164.7400,2613354
160.4319,161.4183,160.0943,164.6817,166.2825,161.4892,159.8591,166.8961,35.1081,-87.0864,34.2505,32.0945,-5.4400,164.8800,165.9300,164.2010,164.6200,2946393
161.4967,162.6350,161.4843,162.7789,167.4343,162.9625,160.0314,165.8013,19.2470,-83.2981,33.2864,33.9525,-7.3000,164.4800,166.0200,164.2400,165.0700,3080062
162.8394,163.5950,163.0429,162.1103,167.6169,163.9800,161.6640,165.5357,20.3338,-89.7747,32.5561,35.0421,-5.7600,163.5800,164.2000,163.1400,163.9000,2868309
163.6392,164.0783,163.9681,159.3997,166.9443,164.3742,162.7213,165.3610,30.9676,-83.7963,36.4411,35.8510,-2.9000,163.0400,164.3000,162.7000,163.7400,3133754
164.1348,164.2183,164.4876,158.6391,166.3047,164.3008,163.0115,165.4481,41.3892,-26.5010,37.3874,35.8749,-0.8400,161.6000,163.4000,161.1900,163.2400,2749174
163.8927,163.7150,164.1948,158.7805,165.7290,163.8233,163.0300,165.8262,71.4426,-23.5294,41.3796,37.8150,3.0200,161.8100,161.9800,160.0700,161.7200,3296272
163.6018,163.3167,163.8224,160.2494,163.5538,163.2900,162.3675,166.4748,70.5280,-15.9664,39.5429,36.4146,2.3900,161.5300,162.9100,161.5300,162.2300,3649768
163.0146,162.9383,163.2133,162.4359,162.9827,162.7933,161.9425,167.0770,78.3711,-9.4563,35.3550,33.9555,2.2700,163.0300,163.2900,162.3728,162.8000,3038737
162.6604,162.8067,162.9010,163.8740,159.3452,162.5650,161.4368,167.4483,71.5055,-13.2388,30.3296,33.3853,0.7900,161.9200,163.3400,161.6900,163.1100,3168231
162.2285,162.4567,162.5343,164.9593,158.0067,162.4692,161.3366,167.4318,70.4361,-4.8048,29.8309,33.6091,2.1000,160.5500,161.6700,160.1550,161.6400,2138158
161.8240,161.9967,162.1790,164.8049,157.6787,162.3058,161.0554,166.9450,67.2336,-39.1304,33.2274,37.3035,2.7600,160.2300,160.5200,159.2000,160.4800,2627116
161.8656,161.6067,162.1467,164.5880,159.1111,161.8683,160.7206,166.5173,54.8406,-22.0238,33.1141,36.3285,2.3400,158.7400,159.8600,158.3000,159.3800,2199440
161.7198,161.0767,161.8171,163.8079,161.6860,161.0992,160.5903,166.3425,61.3260,-10.7143,29.9789,32.6669,3.1800,160.5600,160.7900,158.3700,159.0500,2755807
161.2877,160.7017,161.2176,163.4169,163.4626,160.3850,160.1689,166.2774,68.9167,-4.5635,25.9797,28.1546,2.2500,161.4100,161.5100,160.0800,160.5500,2361539
160.5588,160.3567,160.4310,162.8558,164.9729,160.0025,159.9175,166.1937,73.0125,-8.4932,25.6700,27.7504,2.0700,161.4600,161.9500,161.0200,161.0400,1920897
160.1263,160.3633,160.0662,162.2975,164.9117,160.1500,159.6654,165.9453,64.7291,-43.5233,25.2983,29.2629,-0.0400,161.2900,162.1600,161.1000,161.6800,2659503
159.9848,160.4750,160.0648,162.5701,164.8114,160.5633,159.6559,165.3633,55.8100,-72.0207,27.4926,30.3033,-0.6700,161.9000,161.9000,160.2400,161.1500,2527422
160.2267,160.8667,160.4895,162.5604,163.9279,161.0283,159.6363,164.4775,44.7741,-82.6087,30.4603,30.2196,-2.3500,160.1500,162.2800,160.1500,161.7300,2822325
160.6973,161.0050,161.0481,162.0325,163.5480,161.2050,159.6888,163.4619,41.0966,-44.2455,32.6274,29.3035,-0.8300,159.8100,160.4600,158.3700,159.8800,3355474
160.7562,161.0133,161.1805,160.8725,162.9101,161.1167,159.7043,162.4559,54.9596,-30.3178,30.0550,27.8625,-0.0500,158.3500,161.4300,158.1900,160.6000,3111910
160.6427,160.5300,161.0348,160.1330,162.2199,160.6792,159.7000,161.5240,60.5167,-11.9284,26.9683,26.1333,2.9000,158.4800,158.9900,157.2500,158.1400,2879590
160.2278,160.0300,160.5633,159.8528,162.6924,160.0842,159.5449,160.7903,68.0005,-22.4652,27.8813,27.6870,3.0000,158.3400,159.5100,157.8700,158.6800,3343459
159.8590,159.7217,160.1552,160.2838,162.8677,159.5308,159.2751,160.4854,65.0148,-10.9344,32.9554,31.7079,1.8500,158.8400,159.6200,157.9600,159.3000,2764451
159.1105,159.2533,159.4476,161.2479,162.3668,159.0883,159.1713,160.5785,71.0614,-29.4677,35.3251,33.9762,2.8100,156.4900,158.9300,156.1700,158.9200,2988536
158.8028,158.6133,159.0857,161.5860,160.9096,158.7250,158.8752,161.3344,61.5584,-14.8479,38.4258,34.2404,3.8400,156.9100,157.2000,155.8400,156.0400,1929394
158.0839,157.9667,158.3333,161.6910,159.8780,158.2467,158.7171,162.3630,68.8961,-35.5769,42.1157,34.5420,3.8800,156.0300,157.4100,155.4600,156.7200,2375200
158.0614,157.6450,158.1919,161.2804,159.3569,157.6508,158.4117,163.3834,52.9169,-17.6360,39.4817,33.6815,1.9300,155.7000,156.9700,154.2900,156.2100,3673120
157.8139,157.1000,157.7405,160.9637,159.7787,156.9375,158.4334,164.0739,58.4056,-4.9307,35.6589,34.3072,3.2700,156.6500,156.9297,153.1300,155.4100,6245890
157.2195,156.7033,156.9986,159.9088,161.0343,156.4608,158.3864,164.2933,64.8405,-0.1724,31.5789,33.4520,2.3800,156.5700,157.2200,155.6600,156.9200,4253003
156.5393,156.4733,156.2995,159.6126,161.5661,156.3100,158.3108,164.1516,62.7440,-50.4259,26.6829,32.5544,1.3800,158.7000,159.0000,157.2300,157.5400,3530344
156.7391,156.9067,156.5471,158.4987,161.8815,156.6542,158.2896,163.7543,40.2377,-47.8955,24.5356,33.3257,-2.6000,157.3900,160.0200,157.0900,158.6400,3274878
156.7467,157.0333,156.6367,158.6197,161.5516,157.0975,158.6341,163.3125,45.6656,-55.2975,21.9589,30.7203,-0.7600,156.5800,158.0100,156.4000,157.4800,4287282
156.9614,157.0217,156.8686,158.3481,161.3955,157.4075,158.6751,162.8704,40.6629,-66.9086,25.6653,30.6621,0.0700,158.2300,158.8900,154.7100,156.1400,7409782
157.5819,157.6017,157.4948,157.3730,160.2067,157.6275,158.6876,162.5101,32.5442,-58.3804,28.3862,29.9825,-3.4800,157.6900,158.9900,157.4100,158.8900,4369823
157.8467,157.7717,157.7381,156.0740,160.0412,157.6167,159.0401,162.1814,41.4688,-46.7043,31.2079,28.9454,-1.0200,159.2400,159.5800,157.5200,157.9400,3388383
157.9694,157.9733,157.8619,156.2873,158.7038,157.7767,159.0838,161.9021,45.7628,-25.9887,37.0745,30.8051,-1.2100,157.8000,158.8300,157.0400,158.7500,2754730
157.7012,157.8617,157.6395,156.1218,159.0503,157.9767,159.1215,161.6308,54.0353,-43.1211,36.3612,29.1601,0.6700,157.2000,158.3500,156.2800,157.9700,2697080
157.7896,157.8500,157.7452,156.3012,158.9269,158.1117,159.1281,161.2642,45.3544,-70.6366,35.5053,30.5853,0.0700,157.5900,158.6400,157.1100,157.4100,4869720
